time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,precipitation,rain
2025-04-09 00:00:00,23.7,94,22.7,28.8,0,0.0,0.0
2025-04-09 01:00:00,23.7,94,22.7,28.8,0,0.0,0.0
2025-04-09 02:00:00,23.5,94,22.5,28.5,0,0.0,0.0
2025-04-09 03:00:00,23.3,95,22.4,28.4,0,0.0,0.0
2025-04-09 04:00:00,22.8,97,22.3,27.8,0,0.0,0.0
2025-04-09 05:00:00,22.2,100,22.2,27.1,0,0.0,0.0
2025-04-09 06:00:00,22.0,100,22.0,26.7,0,0.0,0.0
2025-04-09 07:00:00,23.1,100,23.1,28.5,0,0.0,0.0
2025-04-09 08:00:00,25.1,90,23.3,30.5,0,0.0,0.0
2025-04-09 09:00:00,26.7,81,23.2,31.7,0,0.0,0.0
2025-04-09 10:00:00,27.8,76,23.2,33.0,0,0.0,0.0
2025-04-09 11:00:00,28.4,74,23.3,34.2,0,0.0,0.0
2025-04-09 12:00:00,28.6,74,23.6,34.8,0,0.0,0.0
2025-04-09 13:00:00,28.6,73,23.3,34.1,0,0.0,0.0
2025-04-09 14:00:00,28.3,73,23.0,33.0,0,0.0,0.0
2025-04-09 15:00:00,27.6,74,22.6,31.2,0,0.0,0.0
2025-04-09 16:00:00,26.7,76,22.2,29.3,0,0.0,0.0
2025-04-09 17:00:00,25.9,78,21.8,28.7,0,0.0,0.0
2025-04-09 18:00:00,25.1,82,21.8,28.4,0,0.0,0.0
2025-04-09 19:00:00,24.6,86,22.1,28.4,3,0.0,0.0
2025-04-09 20:00:00,24.5,87,22.2,28.8,5,0.0,0.0
2025-04-09 21:00:00,24.5,86,22.0,28.8,8,0.0,0.0
2025-04-09 22:00:00,24.4,87,22.1,29.2,3,0.0,0.0
2025-04-09 23:00:00,24.4,86,21.9,29.3,0,0.0,0.0
2025-04-10 00:00:00,24.3,87,22.0,29.1,3,0.0,0.0
2025-04-10 01:00:00,23.9,89,22.0,28.7,3,0.0,0.0
2025-04-10 02:00:00,23.8,90,22.1,28.6,5,0.0,0.0
2025-04-10 03:00:00,23.7,90,22.0,28.4,3,0.0,0.0
2025-04-10 04:00:00,23.8,91,22.2,28.5,0,0.0,0.0
2025-04-10 05:00:00,23.8,91,22.2,28.5,0,0.0,0.0
2025-04-10 06:00:00,23.9,91,22.3,28.8,0,0.0,0.0
2025-04-10 07:00:00,24.8,89,22.9,30.1,0,0.0,0.0
2025-04-10 08:00:00,26.7,84,23.8,32.4,0,0.0,0.0
2025-04-10 09:00:00,28.1,79,24.1,33.8,0,0.0,0.0
2025-04-10 10:00:00,29.3,74,24.2,35.0,0,0.0,0.0
2025-04-10 11:00:00,30.1,71,24.3,36.3,0,0.0,0.0
2025-04-10 12:00:00,30.2,70,24.2,36.1,0,0.0,0.0
2025-04-10 13:00:00,30.1,68,23.6,35.6,0,0.0,0.0
2025-04-10 14:00:00,29.6,70,23.5,34.4,0,0.0,0.0
2025-04-10 15:00:00,28.4,74,23.4,32.7,0,0.0,0.0
2025-04-10 16:00:00,28.0,76,23.4,32.0,0,0.0,0.0
2025-04-10 17:00:00,27.3,77,23.0,31.3,0,0.0,0.0
2025-04-10 18:00:00,26.4,80,22.7,30.6,3,0.0,0.0
2025-04-10 19:00:00,25.6,84,22.7,30.0,0,0.0,0.0
2025-04-10 20:00:00,25.3,86,22.8,30.2,3,0.0,0.0
2025-04-10 21:00:00,25.2,87,22.9,30.3,0,0.0,0.0
2025-04-10 22:00:00,25.0,88,22.9,30.1,5,0.0,0.0
2025-04-10 23:00:00,24.8,89,22.9,30.0,3,0.0,0.0
2025-04-11 00:00:00,24.9,88,22.8,30.2,3,0.0,0.0
2025-04-11 01:00:00,25.0,87,22.7,30.3,0,0.0,0.0
2025-04-11 02:00:00,25.1,86,22.6,30.4,3,0.0,0.0
2025-04-11 03:00:00,25.0,87,22.7,30.3,3,0.0,0.0
2025-04-11 04:00:00,24.8,89,22.9,30.1,0,0.0,0.0
2025-04-11 05:00:00,24.6,91,23.1,29.9,0,0.0,0.0
2025-04-11 06:00:00,24.5,91,23.0,29.8,0,0.0,0.0
2025-04-11 07:00:00,25.4,90,23.7,31.0,0,0.0,0.0
2025-04-11 08:00:00,27.4,85,24.6,33.2,0,0.0,0.0
2025-04-11 09:00:00,29.0,79,25.0,34.9,0,0.0,0.0
2025-04-11 10:00:00,30.4,74,25.2,37.6,0,0.0,0.0
2025-04-11 11:00:00,31.2,71,25.3,38.9,0,0.0,0.0
2025-04-11 12:00:00,31.3,69,25.0,38.3,0,0.0,0.0
2025-04-11 13:00:00,30.8,69,24.5,37.2,0,0.0,0.0
2025-04-11 14:00:00,30.2,71,24.4,35.7,3,0.0,0.0
2025-04-11 15:00:00,29.4,73,24.1,34.1,6,0.0,0.0
2025-04-11 16:00:00,28.6,74,23.5,32.9,10,0.0,0.0
2025-04-11 17:00:00,27.7,75,22.9,31.7,14,0.0,0.0
2025-04-11 18:00:00,26.7,80,23.0,31.1,18,0.0,0.0
2025-04-11 19:00:00,25.9,84,23.0,30.6,20,0.0,0.0
2025-04-11 20:00:00,25.5,86,23.0,30.5,19,0.0,0.0
2025-04-11 21:00:00,25.2,88,23.1,30.5,16,0.0,0.0
2025-04-11 22:00:00,25.1,89,23.2,30.5,13,0.0,0.0
2025-04-11 23:00:00,24.9,90,23.2,30.3,9,0.0,0.0
2025-04-12 00:00:00,24.8,91,23.3,30.2,4,0.0,0.0
2025-04-12 01:00:00,24.8,91,23.2,30.2,0,0.0,0.0
2025-04-12 02:00:00,24.7,92,23.4,30.2,0,0.0,0.0
2025-04-12 03:00:00,24.6,92,23.2,30.0,0,0.0,0.0
2025-04-12 04:00:00,24.4,93,23.2,29.8,0,0.0,0.0
2025-04-12 05:00:00,24.4,94,23.4,30.0,0,0.0,0.0
2025-04-12 06:00:00,24.6,93,23.4,30.2,0,0.0,0.0
2025-04-12 07:00:00,25.9,92,24.5,32.0,0,0.0,0.0
2025-04-12 08:00:00,27.9,86,25.3,34.4,0,0.0,0.0
2025-04-12 09:00:00,29.9,77,25.4,36.9,0,0.0,0.0
2025-04-12 10:00:00,31.6,69,25.3,39.6,0,0.0,0.0
2025-04-12 11:00:00,32.6,67,25.7,40.7,0,0.0,0.0
2025-04-12 12:00:00,32.4,68,25.7,40.3,0,0.0,0.0
2025-04-12 13:00:00,32.0,68,25.3,39.3,0,0.0,0.0
2025-04-12 14:00:00,31.4,68,24.8,37.8,2,0.0,0.0
2025-04-12 15:00:00,30.5,69,24.2,35.6,4,0.0,0.0
2025-04-12 16:00:00,29.5,71,23.7,33.7,7,0.0,0.0
2025-04-12 17:00:00,28.5,75,23.6,32.9,11,0.0,0.0
2025-04-12 18:00:00,27.4,79,23.4,32.1,14,0.0,0.0
2025-04-12 19:00:00,26.6,83,23.5,31.7,18,0.0,0.0
2025-04-12 20:00:00,26.4,84,23.5,31.7,22,0.0,0.0
2025-04-12 21:00:00,26.6,85,23.9,32.1,26,0.0,0.0
2025-04-12 22:00:00,26.6,85,23.9,32.2,30,0.0,0.0
2025-04-12 23:00:00,26.4,86,23.9,32.0,35,0.6,0.0
2025-04-13 00:00:00,26.2,87,23.9,31.5,40,0.6,0.0
2025-04-13 01:00:00,25.8,89,23.8,31.0,45,0.6,0.0
2025-04-13 02:00:00,25.3,91,23.7,30.3,52,4.9,0.0
2025-04-13 03:00:00,24.7,94,23.7,29.5,60,4.9,0.0
2025-04-13 04:00:00,24.0,95,23.2,28.0,68,4.9,0.0
2025-04-13 05:00:00,23.3,93,22.1,25.8,75,1.4,0.2
2025-04-13 06:00:00,22.5,90,20.8,23.4,81,1.4,0.2
2025-04-13 07:00:00,21.8,87,19.6,21.6,83,1.4,0.2
2025-04-13 08:00:00,21.3,86,18.9,20.7,81,0.3,0.3
2025-04-13 09:00:00,20.9,86,18.5,20.5,76,0.3,0.3
2025-04-13 10:00:00,20.6,86,18.2,20.4,70,0.3,0.3
2025-04-13 11:00:00,20.5,86,18.1,20.6,62,0.2,0.2
2025-04-13 12:00:00,20.6,86,18.2,21.1,54,0.2,0.2
2025-04-13 13:00:00,20.7,86,18.3,21.5,48,0.2,0.2
2025-04-13 14:00:00,20.8,85,18.2,21.6,43,0.0,0.0
2025-04-13 15:00:00,20.8,83,17.8,21.5,38,0.0,0.0
2025-04-13 16:00:00,20.7,82,17.6,21.4,33,0.0,0.0
2025-04-13 17:00:00,20.6,81,17.2,21.5,28,0.0,0.0
2025-04-13 18:00:00,20.4,81,17.1,21.5,24,0.0,0.0
2025-04-13 19:00:00,20.3,81,16.9,21.4,20,0.0,0.0
2025-04-13 20:00:00,20.3,80,16.7,21.5,17,0.0,0.0
2025-04-13 21:00:00,20.3,80,16.8,21.7,14,0.0,0.0
2025-04-13 22:00:00,20.4,79,16.6,21.8,11,0.0,0.0
2025-04-13 23:00:00,20.4,79,16.7,21.9,9,0.0,0.0
2025-04-14 00:00:00,20.4,78,16.5,21.7,7,0.0,0.0
2025-04-14 01:00:00,20.5,78,16.5,21.8,5,0.0,0.0
2025-04-14 02:00:00,20.5,78,16.5,21.8,7,0.0,0.0
2025-04-14 03:00:00,20.5,79,16.7,22.0,6,0.0,0.0
2025-04-14 04:00:00,20.5,79,16.7,22.0,5,0.0,0.0
2025-04-14 05:00:00,20.5,80,16.9,22.1,4,0.0,0.0
2025-04-14 06:00:00,20.5,80,16.9,22.1,4,0.0,0.0
2025-04-14 07:00:00,20.8,80,17.2,22.5,3,0.0,0.0
2025-04-14 08:00:00,21.5,78,17.5,23.2,2,0.0,0.0
2025-04-14 09:00:00,22.5,75,17.8,24.3,2,0.0,0.0
2025-04-14 10:00:00,23.4,73,18.3,25.3,2,0.0,0.0
2025-04-14 11:00:00,24.2,71,18.7,26.3,2,0.0,0.0
2025-04-14 12:00:00,25.0,70,19.2,27.8,2,0.0,0.0
2025-04-14 13:00:00,25.5,69,19.4,28.5,2,0.0,0.0
2025-04-14 14:00:00,25.3,69,19.2,28.1,2,0.0,0.0
2025-04-14 15:00:00,24.8,69,18.7,26.9,2,0.0,0.0
2025-04-14 16:00:00,24.2,71,18.6,26.0,2,0.0,0.0
2025-04-14 17:00:00,23.6,74,18.7,25.8,3,0.0,0.0
2025-04-14 18:00:00,23.1,78,19.0,25.8,3,0.0,0.0
2025-04-14 19:00:00,22.6,82,19.4,25.9,3,0.0,0.0
2025-04-14 20:00:00,22.4,85,19.7,26.0,3,0.0,0.0
2025-04-14 21:00:00,22.3,87,20.0,26.0,3,0.0,0.0
2025-04-14 22:00:00,22.2,88,20.1,25.8,3,0.0,0.0
2025-04-14 23:00:00,22.0,88,20.0,25.6,4,0.0,0.0
2025-04-15 00:00:00,21.9,88,19.8,25.4,4,0.0,0.0
2025-04-15 01:00:00,21.8,88,19.7,25.2,4,0.0,0.0
2025-04-15 02:00:00,21.7,88,19.6,25.0,4,0.0,0.0
2025-04-15 03:00:00,21.6,88,19.6,24.8,5,0.0,0.0
2025-04-15 04:00:00,21.7,88,19.6,24.9,5,0.0,0.0
2025-04-15 05:00:00,21.8,88,19.8,25.5,5,0.0,0.0
2025-04-15 06:00:00,22.1,89,20.2,25.7,5,0.0,0.0
2025-04-15 07:00:00,22.6,88,20.5,26.1,5,0.0,0.0
2025-04-15 08:00:00,23.5,86,21.1,27.3,5,0.0,0.0
2025-04-15 09:00:00,24.7,83,21.6,28.9,5,0.0,0.0
2025-04-15 10:00:00,25.7,80,22.0,30.7,5,0.0,0.0
2025-04-15 11:00:00,26.3,78,22.2,31.9,5,0.0,0.0
2025-04-15 12:00:00,26.8,76,22.2,32.3,5,0.0,0.0
2025-04-15 13:00:00,27.0,75,22.2,32.2,4,0.0,0.0
2025-04-15 14:00:00,26.8,76,22.2,31.6,4,0.0,0.0
2025-04-15 15:00:00,26.3,77,21.9,30.1,4,0.0,0.0
2025-04-15 16:00:00,25.7,79,21.8,28.8,4,0.0,0.0
2025-04-15 17:00:00,25.2,81,21.7,28.4,3,0.0,0.0
2025-04-15 18:00:00,24.6,84,21.8,28.3,3,0.0,0.0
2025-04-15 19:00:00,24.2,86,21.8,28.1,3,0.0,0.0
2025-04-15 20:00:00,24.1,88,22.0,28.4,3,0.0,0.0
2025-04-15 21:00:00,24.1,89,22.2,28.6,2,0.0,0.0
2025-04-15 22:00:00,24.1,90,22.3,28.8,2,0.0,0.0
2025-04-15 23:00:00,23.8,91,22.3,28.8,2,0.0,0.0
2025-04-16 00:00:00,23.4,93,22.2,28.3,2,0.0,0.0
2025-04-16 01:00:00,23.2,94,22.2,27.9,1,0.0,0.0
2025-04-16 02:00:00,23.0,94,22.0,27.7,1,0.0,0.0
2025-04-16 03:00:00,23.0,94,22.0,27.9,1,0.0,0.0
2025-04-16 04:00:00,23.1,94,22.1,27.9,0,0.0,0.0
2025-04-16 05:00:00,23.3,94,22.3,28.1,0,0.0,0.0
2025-04-16 06:00:00,23.7,93,22.5,28.5,0,0.0,0.0
2025-04-16 07:00:00,24.5,91,23.0,29.4,0,0.0,0.0
2025-04-16 08:00:00,26.0,86,23.5,31.3,0,0.0,0.0
2025-04-16 09:00:00,27.9,79,24.0,33.3,0,0.0,0.0
2025-04-16 10:00:00,29.4,74,24.3,36.0,0,0.0,0.0
2025-04-16 11:00:00,30.1,72,24.5,37.3,1,0.0,0.0
2025-04-16 12:00:00,30.3,72,24.7,37.7,1,0.0,0.0
2025-04-16 13:00:00,30.3,72,24.7,37.3,1,0.0,0.0
2025-04-16 14:00:00,29.8,73,24.4,35.9,2,0.0,0.0
2025-04-16 15:00:00,29.0,74,23.9,33.8,2,0.0,0.0
2025-04-16 16:00:00,28.1,76,23.5,32.1,2,0.0,0.0
2025-04-16 17:00:00,27.3,79,23.3,31.4,3,0.0,0.0
2025-04-16 18:00:00,26.4,82,23.1,30.8,3,0.0,0.0
2025-04-16 19:00:00,25.8,85,23.1,30.5,3,0.0,0.0
2025-04-16 20:00:00,23.7,93,22.5,28.3,38,0.0,0.0
2025-04-16 21:00:00,24.1,93,22.9,28.9,35,0.0,0.0
2025-04-16 22:00:00,24.3,92,22.9,29.1,32,0.0,0.0
2025-04-16 23:00:00,24.2,92,22.8,29.0,29,0.0,0.0
2025-04-17 00:00:00,24.0,92,22.6,28.8,25,0.0,0.0
2025-04-17 01:00:00,23.8,92,22.4,28.6,23,0.0,0.0
2025-04-17 02:00:00,23.6,91,22.0,28.1,22,0.0,0.0
2025-04-17 03:00:00,23.4,90,21.6,27.6,22,0.0,0.0
2025-04-17 04:00:00,23.4,89,21.5,27.6,23,0.0,0.0
2025-04-17 05:00:00,23.8,87,21.5,28.1,24,0.0,0.0
2025-04-17 06:00:00,24.5,85,21.8,29.0,25,0.0,0.0
2025-04-17 07:00:00,25.4,82,22.1,30.2,26,0.0,0.0
2025-04-17 08:00:00,26.7,78,22.6,31.8,25,0.0,0.0
2025-04-17 09:00:00,28.3,73,23.0,33.2,24,0.0,0.0
2025-04-17 10:00:00,29.4,69,23.1,34.3,23,0.0,0.0
2025-04-17 11:00:00,29.9,68,23.3,35.5,22,0.0,0.0
2025-04-17 12:00:00,30.0,69,23.7,36.1,21,0.0,0.0
2025-04-17 13:00:00,29.7,70,23.7,36.0,23,0.0,0.0
2025-04-17 14:00:00,29.1,72,23.6,35.2,31,0.1,0.0
2025-04-17 15:00:00,28.3,75,23.4,33.9,41,0.1,0.0
2025-04-17 16:00:00,27.4,78,23.2,32.4,48,0.1,0.0
2025-04-17 17:00:00,26.6,81,23.1,31.4,48,0.0,0.0
2025-04-17 18:00:00,25.9,83,22.8,30.2,44,0.0,0.0
2025-04-17 19:00:00,25.2,85,22.5,29.4,39,0.0,0.0
2025-04-17 20:00:00,24.8,85,22.1,28.8,33,0.0,0.0
2025-04-17 21:00:00,24.4,85,21.7,28.3,26,0.0,0.0
2025-04-17 22:00:00,24.1,84,21.2,27.6,19,0.0,0.0
2025-04-17 23:00:00,23.8,83,20.8,27.0,14,0.0,0.0
2025-04-18 00:00:00,23.5,82,20.3,26.6,9,0.0,0.0
2025-04-18 01:00:00,23.3,81,19.9,26.3,6,0.0,0.0
2025-04-18 02:00:00,23.2,80,19.6,26.2,6,0.0,0.0
2025-04-18 03:00:00,23.2,79,19.4,26.2,7,0.0,0.0
2025-04-18 04:00:00,23.4,79,19.6,26.7,10,0.0,0.0
2025-04-18 05:00:00,23.8,80,20.1,27.3,14,0.0,0.0
2025-04-18 06:00:00,24.3,81,20.8,28.0,20,0.0,0.0
2025-04-18 07:00:00,25.1,80,21.4,29.3,23,0.0,0.0
2025-04-18 08:00:00,26.7,76,22.1,31.4,22,0.0,0.0
2025-04-18 09:00:00,28.5,70,22.5,32.7,19,0.0,0.0
2025-04-18 10:00:00,29.9,65,22.6,34.4,16,0.0,0.0
2025-04-18 11:00:00,30.5,63,22.6,35.8,13,0.0,0.0
2025-04-18 12:00:00,30.6,63,22.7,36.6,11,0.0,0.0
2025-04-18 13:00:00,30.4,64,22.8,36.6,13,0.0,0.0
2025-04-18 14:00:00,30.0,67,23.2,36.0,25,0.5,0.0
2025-04-18 15:00:00,29.4,72,23.8,34.9,42,0.5,0.0
2025-04-18 16:00:00,28.5,77,24.1,33.7,55,0.5,0.0
2025-04-18 17:00:00,27.4,81,23.9,32.4,59,0.3,0.0
2025-04-18 18:00:00,26.2,85,23.4,30.7,59,0.3,0.0
2025-04-18 19:00:00,25.2,88,23.1,29.4,55,0.3,0.0
2025-04-18 20:00:00,24.9,89,22.9,29.0,46,0.0,0.0
2025-04-18 21:00:00,24.8,88,22.7,29.0,33,0.0,0.0
2025-04-18 22:00:00,24.8,87,22.5,29.1,23,0.0,0.0
2025-04-18 23:00:00,24.8,87,22.5,29.0,17,0.0,0.0
